Team,Seed,Region,Avg_Team_Age,Youngest_Starter,Oldest_Starter
Duke,1,East,19.4,18,22
Siena,16,East,21.0,19,23
Ohio State,8,East,20.8,18,23
TCU,9,East,21.0,19,22
St. John's,5,East,21.8,21,23
Northern Iowa,12,East,21.2,20,22
Kansas,4,East,21.4,19,23
Cal Baptist,13,East,21.2,20,22
Louisville,6,East,21.2,19,23
South Florida,11,East,21.6,20,23
Michigan State,3,East,20.8,20,22
North Dakota State,14,East,21.2,20,23
UCLA,7,East,21.2,20,22
UCF,10,East,21.6,20,23
UConn,2,East,21.2,19,23
Furman,15,East,20.8,19,22
Arizona,1,West,20.2,19,22
LIU,16,West,22.4,19,24
Villanova,8,West,21.2,20,23
Utah State,9,West,22.0,19,24
Wisconsin,5,West,21.4,20,24
High Point,12,West,23.8,21,26
Arkansas,4,West,20.8,19,24
Hawai'i,13,West,24.0,23,25
BYU,6,West,20.8,19,23
Texas,11,West,21.8,20,24
NC State,11,West,21.6,19,23
Gonzaga,3,West,22.0,19,24
Kennesaw State,14,West,20.4,19,23
Miami FL,7,West,21.2,19,22
Missouri,10,West,22.0,21,24
Purdue,2,West,22.4,21,24
Queens,15,West,22.6,21,25
Michigan,1,Midwest,22.0,20,24
UMBC,16,Midwest,22.4,21,24
Howard,16,Midwest,21.4,20,23
Georgia,8,Midwest,20.2,19,21
Saint Louis,9,Midwest,21.6,20,23
Texas Tech,5,Midwest,21.6,19,23
Akron,12,Midwest,22.2,22,23
Alabama,4,Midwest,20.2,19,21
Hofstra,13,Midwest,22.2,19,25
Tennessee,6,Midwest,20.6,19,22
Miami OH,11,Midwest,21.0,20,22
SMU,11,Midwest,22.2,21,23
Virginia,3,Midwest,22.6,21,24
Wright State,14,Midwest,20.8,19,24
Kentucky,7,Midwest,21.2,19,22
Santa Clara,10,Midwest,21.4,20,23
Iowa State,2,Midwest,21.2,19,22
Tennessee State,15,Midwest,22.8,21,24
Florida,1,South,21.2,19,22
Prairie View A&M,16,South,23.4,22,25
Lehigh,16,South,20.6,19,22
Clemson,8,South,23.0,22,24
Iowa,9,South,21.0,20,22
Vanderbilt,5,South,22.4,20,24
McNeese,12,South,22.0,19,25
Nebraska,4,South,22.0,21,24
Troy,13,South,21.4,20,23
North Carolina,6,South,20.6,20,21
VCU,11,South,21.4,19,24
Illinois,3,South,20.2,18,22
Penn,14,South,21.6,20,23
Saint Mary's,7,South,21.0,20,23
Texas A&M,10,South,23.4,22,25
Houston,2,South,20.6,19,23
Idaho,15,South,21.8,19,23
