Team,Seed,Region,Avg_G_Height,Avg_F_Height,Avg_C_Height,Avg_G_Height_Inches,Avg_F_Height_Inches,Avg_C_Height_Inches,Num_G,Num_F,Num_C
Duke,1,East,"6'7.0""","6'8.7""",,79.0,80.67,,2,3,0
Siena,16,East,"6'2.0""","6'7.0""","7'0.0""",74.0,79.0,84.0,2,2,1
Ohio State,8,East,"6'2.0""","6'7.0""","7'0.0""",74.0,79.0,84.0,2,2,1
TCU,9,East,"6'0.0""","6'7.0""",,72.0,79.0,,2,3,0
St. John's,5,East,"6'3.0""","6'8.0""",,75.0,80.0,,2,3,0
Northern Iowa,12,East,"6'4.0""","6'6.0""",,76.0,78.0,,2,3,0
Kansas,4,East,"6'4.3""","6'7.0""","6'10.0""",76.33,79.0,82.0,3,1,1
Cal Baptist,13,East,"6'3.5""","6'10.5""","7'0.0""",75.5,82.5,84.0,2,2,1
Louisville,6,East,"6'4.0""","6'7.0""",,76.0,79.0,,3,2,0
South Florida,11,East,"6'3.5""","6'10.0""",,75.5,82.0,,4,1,0
Michigan State,3,East,"6'4.5""","6'8.0""","6'10.0""",76.5,80.0,82.0,2,2,1
North Dakota State,14,East,"6'1.3""","6'8.5""",,73.33,80.5,,3,2,0
UCLA,7,East,"6'3.5""","6'9.0""",,75.5,81.0,,4,1,0
UCF,10,East,"6'4.5""","6'9.0""","7'2.0""",76.5,81.0,86.0,2,2,1
UConn,2,East,"6'5.0""","6'7.5""","6'11.0""",77.0,79.5,83.0,2,2,1
Furman,15,East,"6'4.5""","6'9.3""",,76.5,81.33,,2,3,0
Arizona,1,West,"6'4.3""","6'8.0""","7'2.0""",76.33,80.0,86.0,3,1,1
LIU,16,West,"6'4.7""","6'6.5""",,76.67,78.5,,3,2,0
Villanova,8,West,"6'3.0""","6'7.0""","6'10.0""",75.0,79.0,82.0,2,2,1
Utah State,9,West,"6'5.0""","6'9.0""","6'10.0""",77.0,81.0,82.0,3,1,1
Wisconsin,5,West,"6'4.3""","6'9.5""",,76.33,81.5,,3,2,0
High Point,12,West,"6'1.7""","6'6.5""",,73.67,78.5,,3,2,0
Arkansas,4,West,"6'4.5""","6'8.0""","6'10.0""",76.5,80.0,82.0,2,2,1
Hawai'i,13,West,"6'4.5""","6'8.5""","7'0.0""",76.5,80.5,84.0,2,2,1
BYU,6,West,"6'3.5""","6'9.5""","6'7.0""",75.5,81.5,79.0,2,2,1
Texas,11,West,"6'5.0""","6'8.0""","6'9.0""",77.0,80.0,81.0,3,1,1
NC State,11,West,"6'4.3""","6'7.0""",,76.33,79.0,,3,2,0
Gonzaga,3,West,"6'4.7""","6'7.0""",,76.67,79.0,,3,2,0
Kennesaw State,14,West,"6'3.0""","6'6.7""",,75.0,78.67,,2,3,0
Miami FL,7,West,"6'3.5""","6'7.5""","6'11.0""",75.5,79.5,83.0,2,2,1
Missouri,10,West,"6'2.5""","6'9.0""","7'0.0""",74.5,81.0,84.0,2,2,1
Purdue,2,West,"6'2.3""","6'9.0""","6'11.0""",74.33,81.0,83.0,3,1,1
Queens,15,West,"6'4.3""","6'9.0""",,76.33,81.0,,3,2,0
Michigan,1,Midwest,"6'3.7""","6'9.0""",,75.67,81.0,,3,2,0
UMBC,16,Midwest,"6'2.2""","6'10.0""",,74.25,82.0,,4,1,0
Howard,16,Midwest,"6'2.8""",,"6'10.0""",74.75,,82.0,4,0,1
Georgia,8,Midwest,"6'2.3""","6'9.0""","6'11.0""",74.33,81.0,83.0,3,1,1
Saint Louis,9,Midwest,"6'3.0""","6'5.0""","6'10.0""",75.0,77.0,82.0,3,1,1
Texas Tech,5,Midwest,"6'4.3""","6'8.5""",,76.33,80.5,,3,2,0
Akron,12,Midwest,"6'2.0""","6'7.5""",,74.0,79.5,,3,2,0
Alabama,4,Midwest,"6'2.0""","6'7.5""","6'11.0""",74.0,79.5,83.0,2,2,1
Hofstra,13,Midwest,"6'2.0""","6'9.3""",,74.0,81.33,,2,3,0
Tennessee,6,Midwest,"6'2.5""","6'9.0""","6'11.0""",74.5,81.0,83.0,2,2,1
Miami OH,11,Midwest,"6'4.7""","6'8.5""",,76.67,80.5,,3,2,0
SMU,11,Midwest,"6'4.0""","6'7.0""",,76.0,79.0,,3,2,0
Virginia,3,Midwest,"6'5.0""","6'6.5""",,77.0,78.5,,3,2,0
Wright State,14,Midwest,"6'3.3""","6'8.0""",,75.33,80.0,,3,2,0
Kentucky,7,Midwest,"6'4.2""",,"6'11.0""",76.25,,83.0,4,0,1
Santa Clara,10,Midwest,"6'2.0""","6'8.0""","7'1.0""",74.0,80.0,85.0,2,2,1
Iowa State,2,Midwest,"6'3.0""","6'8.0""","6'11.0""",75.0,80.0,83.0,2,2,1
Tennessee State,15,Midwest,"6'3.7""","6'8.0""",,75.67,80.0,,3,2,0
Florida,1,South,"6'3.5""","6'10.0""","6'10.0""",75.5,82.0,82.0,2,2,1
Prairie View A&M,16,South,"6'2.7""","6'6.0""",,74.67,78.0,,3,2,0
Lehigh,16,South,"6'1.3""","6'9.5""",,73.33,81.5,,3,2,0
Clemson,8,South,"6'2.0""","6'8.5""","6'10.0""",74.0,80.5,82.0,2,2,1
Iowa,9,South,"6'3.5""","6'7.3""",,75.5,79.33,,2,3,0
Vanderbilt,5,South,"6'1.0""","6'7.0""",,73.0,79.0,,2,3,0
McNeese,12,South,"6'3.0""",,"6'10.0""",75.0,,82.0,4,0,1
Nebraska,4,South,"6'1.5""","6'8.5""","6'10.0""",73.5,80.5,82.0,2,2,1
Troy,13,South,"6'2.5""","6'7.5""","6'9.0""",74.5,79.5,81.0,2,2,1
North Carolina,6,South,"6'2.5""","6'8.5""","7'0.0""",74.5,80.5,84.0,2,2,1
VCU,11,South,"6'5.0""","6'6.0""","6'10.0""",77.0,78.0,82.0,2,2,1
Illinois,3,South,"6'4.0""","6'7.5""","7'1.0""",76.0,79.5,85.0,2,2,1
Penn,14,South,"6'2.3""","6'9.0""",,74.33,81.0,,3,2,0
Saint Mary's,7,South,"6'3.7""","6'8.0""","7'1.0""",75.67,80.0,85.0,3,1,1
Texas A&M,10,South,"6'3.5""","6'7.0""",,75.5,79.0,,4,1,0
Houston,2,South,"6'4.0""","6'7.0""","6'10.0""",76.0,79.0,82.0,3,1,1
Idaho,15,South,"6'2.3""","6'9.0""",,74.33,81.0,,3,2,0
