Team,Seed,Region,Player1_Name,Player1_Pos,Player1_Age,Player2_Name,Player2_Pos,Player2_Age,Player3_Name,Player3_Pos,Player3_Age,Player4_Name,Player4_Pos,Player4_Age,Player5_Name,Player5_Pos,Player5_Age,Avg_Team_Age
Duke,1,East,Cayden Boozer,G,18,Isaiah Evans,G,20,Cameron Boozer,F,18,Maliq Brown,F,22,Dame Sarr,F,19,19.4
Siena,16,East,Gavin Doty,G,19,Justice Shoats,G,22,Brendan Coyle,F,22,Francis Folefac,F,19,Riley Mulvey,C,23,21.0
Ohio State,8,East,Bruce Thornton,G,22,John Mobley Jr.,G,20,Devin Royal,F,21,Amare Bynum,F,18,Christoph Tilly,C,23,20.8
TCU,9,East,Brock Harding,G,21,Jayden Pierre,G,22,Liutauras Lelevicius,F,22,David Punch,F,19,Xavier Edmonds,F,21,21.0
St. John's,5,East,Dylan Darling,G,22,Ian Jackson,G,21,Zuby Ejiofor,F,21,Bryce Hopkins,F,23,Dillon Mitchell,F,22,21.8
Northern Iowa,12,East,Trey Campbell,G,22,Max Weisbrod,G,22,Leon Bond III,F,22,Tristan Smith,F,20,Will Hornseth,F,20,21.2
Kansas,4,East,Darryn Peterson,G,19,Jayden Dawson,G,22,Melvin Council Jr.,G,23,Tre White,F,23,Flory Bidunga,C,20,21.4
Cal Baptist,13,East,Dominique Daniels Jr.,G,22,Martel Williams,G,22,Thomas Ndong,F,21,Jonathan Griman,F,21,Bradey Henige,C,20,21.2
Louisville,6,East,Mikel Brown Jr.,G,19,Ryan Conwell,G,21,Isaac McKneely,G,22,J'Vonne Hadley,F,23,Vangelis Zougris,F,21,21.2
South Florida,11,East,Wes Enis,G,23,CJ Brown,G,20,Josh Omojafo,G,21,Joseph Pinion,G,22,Izaiyah Nelson,F,22,21.6
Michigan State,3,East,Jeremy Fears Jr.,G,20,Kur Teng,G,20,Coen Carr,F,21,Jaxon Kohler,F,22,Carson Cooper,C,21,20.8
North Dakota State,14,East,Andy Stefonowicz,G,20,Damari Wheeler-Thomas,G,22,Trevian Carson,G,21,Markhi Strickland,F,23,Treyson Anderson,F,20,21.2
UCLA,7,East,Donovan Dent,G,22,Trent Perry,G,21,Skyy Clark,G,22,Brandon Williams,G,20,Tyler Bilodeau,F,21,21.2
UCF,10,East,Riley Kugel,G,22,Themus Fulks,G,23,Jordan Burks,F,21,Jamichael Stillwell,F,22,John Bol,C,20,21.6
UConn,2,East,Silas Demary Jr.,G,21,Braylon Mullins,G,19,Alex Karaban,F,23,Jaylin Stewart,F,21,Tarris Reed Jr.,C,22,21.2
Furman,15,East,Alex Wilkins,G,19,Eddrin Bronson,G,20,Ben Vander Wal,F,22,Cooper Bowser,F,21,Charles Johnston,F,22,20.8
