Team,Seed,Region,Player1_Name,Player1_Pos,Player1_Height,Player2_Name,Player2_Pos,Player2_Height,Player3_Name,Player3_Pos,Player3_Height,Player4_Name,Player4_Pos,Player4_Height,Player5_Name,Player5_Pos,Player5_Height,Avg_G_Height_Inches,Avg_F_Height_Inches,Avg_C_Height_Inches,Num_G,Num_F,Num_C
Duke,1,East,Cayden Boozer,G,6-6,Isaiah Evans,G,6-8,Cameron Boozer,F,6-9,Maliq Brown,F,6-9,Dame Sarr,F,6-8,79.0,80.33,,2,3,0
Siena,16,East,Gavin Doty,G,6-5,Justice Shoats,G,5-11,Brendan Coyle,F,6-7,Francis Folefac,F,6-7,Riley Mulvey,C,7-0,74.0,79.0,84.0,2,2,1
Ohio State,8,East,Bruce Thornton,G,6-2,John Mobley Jr.,G,6-2,Devin Royal,F,6-6,Amare Bynum,F,6-8,Christoph Tilly,C,7-0,74.0,79.0,84.0,2,2,1
TCU,9,East,Brock Harding,G,6-0,Jayden Pierre,G,6-0,Liutauras Lelevicius,F,6-6,David Punch,F,6-7,Xavier Edmonds,F,6-8,72.0,79.0,,2,3,0
St. John's,5,East,Dylan Darling,G,6-1,Ian Jackson,G,6-5,Zuby Ejiofor,F,6-9,Bryce Hopkins,F,6-7,Dillon Mitchell,F,6-8,76.0,80.0,,2,3,0
Northern Iowa,12,East,Trey Campbell,G,6-4,Max Weisbrod,G,6-4,Leon Bond III,F,6-5,Tristan Smith,F,6-5,Will Hornseth,F,6-8,76.0,78.0,,2,3,0
Kansas,4,East,Darryn Peterson,G,6-5,Jayden Dawson,G,6-4,Melvin Council Jr.,G,6-4,Tre White,F,6-7,Flory Bidunga,C,6-10,76.33,79.0,82.0,3,1,1
Cal Baptist,13,East,Dominique Daniels Jr.,G,6-3,Martel Williams,G,6-4,Thomas Ndong,F,6-10,Jonathan Griman,F,6-11,Bradey Henige,C,7-0,75.5,82.5,84.0,2,2,1
Louisville,6,East,Mikel Brown Jr.,G,6-4,Ryan Conwell,G,6-4,Isaac McKneely,G,6-4,J'Vonne Hadley,F,6-6,Vangelis Zougris,F,6-8,76.0,79.0,,3,2,0
South Florida,11,East,Wes Enis,G,6-2,CJ Brown,G,6-2,Josh Omojafo,G,6-5,Joseph Pinion,G,6-5,Izaiyah Nelson,F,6-10,75.5,82.0,,4,1,0
Michigan State,3,East,Jeremy Fears Jr.,G,6-2,Kur Teng,G,6-7,Coen Carr,F,6-6,Jaxon Kohler,F,6-10,Carson Cooper,C,6-10,76.5,80.0,82.0,2,2,1
North Dakota State,14,East,Andy Stefonowicz,G,6-1,Damari Wheeler-Thomas,G,6-0,Trevian Carson,G,6-3,Markhi Strickland,F,6-8,Treyson Anderson,F,6-9,73.33,80.5,,3,2,0
UCLA,7,East,Donovan Dent,G,6-2,Trent Perry,G,6-4,Skyy Clark,G,6-3,Brandon Williams,G,6-5,Tyler Bilodeau,F,6-9,75.5,81.0,,4,1,0
UCF,10,East,Riley Kugel,G,6-4,Themus Fulks,G,6-5,Jordan Burks,F,6-9,Jamichael Stillwell,F,6-9,John Bol,C,7-2,76.5,81.0,86.0,2,2,1
UConn,2,East,Silas Demary Jr.,G,6-4,Braylon Mullins,G,6-6,Alex Karaban,F,6-8,Jaylin Stewart,F,6-7,Tarris Reed Jr.,C,6-11,77.0,79.5,83.0,2,2,1
Furman,15,East,Alex Wilkins,G,6-5,Eddrin Bronson,G,6-4,Ben Vander Wal,F,6-6,Cooper Bowser,F,6-11,Charles Johnston,F,6-11,76.5,80.67,,2,3,0
Arizona,1,West,Jaden Bradley,G,6-3,Brayden Burries,G,6-4,Ivan Kharchenkov,G,6-6,Koa Peat,F,6-8,Motiejus Krivas,C,7-2,76.33,80.0,86.0,3,1,1
LIU,16,West,Greg Gordon,G,6-5,Malachi Davis,G,6-4,Jamal Fuller,G,6-5,Mason Porter-Brown,F,6-6,Shadrak Lasu,F,6-7,76.67,78.5,,3,2,0
Villanova,8,West,Acaden Lewis,G,6-2,Tyler Perkins,G,6-4,Zion Stanford,F,6-6,Matthew Hodge,F,6-8,Duke Brennan,C,6-10,75.0,79.0,82.0,2,2,1
Utah State,9,West,Drake Allen,G,6-5,MJ Collins Jr.,G,6-5,Mason Falslev,G,6-5,Adlan Elamin,F,6-9,Zach Keller,C,6-10,77.0,81.0,82.0,3,1,1
Wisconsin,5,West,Nick Boyd,G,6-3,Andrew Rohde,G,6-6,John Blackwell,G,6-4,Austin Rapp,F,6-10,Aleksas Bieliauskas,F,6-9,76.33,81.5,,3,2,0
High Point,12,West,Rob Martin,G,5-10,Chase Johnston,G,6-3,Scotty Washington,G,6-4,Terry Anderson,F,6-6,Cam'Ron Fletcher,F,6-7,73.67,78.5,,3,2,0
